SeriesCode,GeoAreaName,TimePeriod,values
Clean Water,Russia,2002,0.7329135754824733
Clean Water,Saint Helena,2002,0.8808683697969836
Clean Water,Samoa,2002,0.5478051661834946
Clean Water,San Marino,2002,1.0
Clean Water,Serbia,2002,0.7317387534542128
Clean Water,Sierra Leone,2002,0.0006416546347645395
Clean Water,Singapore,2002,1.0
Clean Water,Slovakia,2002,0.9243046599799203
Clean Water,Slovenia,2002,0.7870488142028548
Clean Water,South Korea,2002,0.966528210263862
Clean Water,Spain,2002,0.9873650281792976
Clean Water,Sweden,2002,0.9993680354877565
Clean Water,Switzerland,2002,0.9244204148130797
Clean Water,Tajikistan,2002,0.34330913892307346
Clean Water,Tunisia,2002,0.4705400263150023
Clean Water,Turkmenistan,2002,0.6677570863234031
Clean Water,Uganda,2002,0.0
Clean Water,Ukraine,2002,0.6404976130700372
Clean Water,United Kingdom,2002,0.9996501023150546
Clean Water,Uzbekistan,2002,0.5431657040442779
Clean Water,Vanuatu,2002,0.3642348531798979
Clean Water,Albania,2003,0.46141278727367613
Clean Water,American Samoa,2003,0.0763511080923394
Clean Water,Andorra,2003,0.9012652082961276
Clean Water,Armenia,2003,0.33378762589345234
Clean Water,Austria,2003,0.9785089379775675
Clean Water,Azerbaijan,2003,0.48350807246585187
Clean Water,Bahrain,2003,0.9880414867560884
Clean Water,Bangladesh,2003,0.5349141940862291
Clean Water,Belarus,2003,0.8013949664876606
Clean Water,Belgium,2003,0.994970327346974
Clean Water,Bhutan,2003,0.26435407140192113
Clean Water,Bosnia and Herzegovina,2003,0.8704167040702047
Clean Water,Bulgaria,2003,0.9663382926117368
Clean Water,Cambodia,2003,0.13784125871669453
Clean Water,Canada,2003,0.9812590605785416
Clean Water,Chile,2003,0.9307105392322589
Clean Water,Colombia,2003,0.6772782657613586
Clean Water,Congo [DRC],2003,0.24029495542219095
Clean Water,Costa Rica,2003,0.8778003998126148
Clean Water,Croatia,2003,0.8967817415741299
Clean Water,Cyprus,2003,0.9510124588328134
Clean Water,Czech Republic,2003,0.9636503011991319
Clean Water,Denmark,2003,0.9349509664669853
Clean Water,Ecuador,2003,0.6620919898130169
Clean Water,Estonia,2003,0.9356946419814216
Clean Water,Ethiopia,2003,0.004496968915734813
Clean Water,Finland,2003,0.9393860151661281
Clean Water,France,2003,0.9662394523341443
Clean Water,French Guiana,2003,0.8797238295048462
Clean Water,French Polynesia,2003,0.4447940129585195
Clean Water,Georgia,2003,0.7385540690601344
Clean Water,Germany,2003,0.9978902822285497
Clean Water,Ghana,2003,0.11206451601333806
Clean Water,Gibraltar,2003,1.0
Clean Water,Greece,2003,0.9918418268636904
